instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name,workingday_status,holiday_status,temp_actual,temp_group
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Spring,Workday,Non-holiday,23.059151,Normal
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Spring,Workday,Non-holiday,25.291651,Warm
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Spring,Workday,Non-holiday,24.038349000000004,Normal
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Spring,Day-off,Non-holiday,22.824151,Normal
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Spring,Day-off,Non-holiday,23.3725,Normal
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Spring,Day-off,Holiday,26.466651,Warm
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Spring,Workday,Non-holiday,28.425000000000004,Warm
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Spring,Workday,Non-holiday,27.915849,Warm
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Spring,Workday,Non-holiday,25.604999999999997,Warm
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Spring,Workday,Non-holiday,21.14,Normal
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Spring,Day-off,Non-holiday,21.845,Normal
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Spring,Day-off,Non-holiday,22.471651,Normal
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Spring,Workday,Non-holiday,23.881650999999998,Normal
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Spring,Workday,Non-holiday,25.252499999999998,Warm
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Spring,Workday,Non-holiday,28.464151,Warm
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Spring,Workday,Non-holiday,29.991650999999997,Warm
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Spring,Workday,Non-holiday,27.485,Warm
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Spring,Day-off,Non-holiday,26.074999999999996,Warm
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Spring,Day-off,Non-holiday,24.5475,Normal
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Spring,Workday,Non-holiday,21.845,Normal
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Spring,Workday,Non-holiday,20.395849000000002,Normal
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Spring,Workday,Non-holiday,21.453349,Normal
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Spring,Workday,Non-holiday,21.531651,Normal
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,Spring,Workday,Non-holiday,22.510849000000004,Normal
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,Spring,Day-off,Non-holiday,24.743349000000002,Normal
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,Spring,Day-off,Non-holiday,24.860849,Normal
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,Spring,Workday,Non-holiday,21.845,Normal
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,Summer,Workday,Non-holiday,23.999151,Normal
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,Summer,Workday,Non-holiday,26.466651,Warm
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,Summer,Workday,Non-holiday,26.231651,Warm
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Summer,Workday,Non-holiday,26.035849,Warm
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Summer,Day-off,Non-holiday,24.665,Normal
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Summer,Day-off,Non-holiday,23.96,Normal
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Summer,Workday,Non-holiday,24.0775,Normal
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Summer,Workday,Non-holiday,26.975849000000004,Warm
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Summer,Workday,Non-holiday,26.231651,Warm
181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,Summer,Workday,Non-holiday,24.743349000000002,Normal
182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,Summer,Workday,Non-holiday,25.957500000000003,Warm
183,2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,Summer,Day-off,Non-holiday,26.701651,Warm
184,2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,Summer,Day-off,Non-holiday,25.683349,Warm
185,2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,Summer,Day-off,Holiday,26.153349,Warm
186,2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,Summer,Workday,Non-holiday,27.093348999999996,Warm
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,Summer,Workday,Non-holiday,25.839999999999996,Warm
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,Summer,Workday,Non-holiday,27.25,Warm
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,Summer,Workday,Non-holiday,25.330849,Warm
190,2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,Summer,Day-off,Non-holiday,26.466651,Warm
191,2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,Summer,Day-off,Non-holiday,27.1325,Warm
192,2011-07-11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,Summer,Workday,Non-holiday,27.8375,Warm
193,2011-07-12,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,Summer,Workday,Non-holiday,29.325848999999998,Warm
194,2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,Summer,Workday,Non-holiday,27.093348999999996,Warm
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,Summer,Workday,Non-holiday,23.999151,Normal
196,2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,Summer,Workday,Non-holiday,23.176650999999996,Normal
197,2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,Summer,Day-off,Non-holiday,24.273349000000003,Normal
198,2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,Summer,Day-off,Non-holiday,25.800849,Warm
199,2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,Summer,Workday,Non-holiday,27.093348999999996,Warm
200,2011-07-19,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,Summer,Workday,Non-holiday,28.503349,Warm
201,2011-07-20,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,Summer,Workday,Non-holiday,28.111651000000002,Warm
202,2011-07-21,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,Summer,Workday,Non-holiday,30.305,Very Hot
203,2011-07-22,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,Summer,Workday,Non-holiday,31.871651,Very Hot
204,2011-07-23,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,Summer,Day-off,Non-holiday,31.910849,Very Hot
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,Summer,Day-off,Non-holiday,31.009999999999998,Very Hot
206,2011-07-25,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,Summer,Workday,Non-holiday,26.936650999999998,Warm
207,2011-07-26,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,Summer,Workday,Non-holiday,28.268349,Warm
208,2011-07-27,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,Summer,Workday,Non-holiday,28.425000000000004,Warm
209,2011-07-28,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,Summer,Workday,Non-holiday,28.620849,Warm
210,2011-07-29,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,Summer,Workday,Non-holiday,31.401651,Very Hot
211,2011-07-30,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,Summer,Day-off,Non-holiday,29.795848999999997,Warm
212,2011-07-31,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,Summer,Day-off,Non-holiday,29.874150999999998,Warm
213,2011-08-01,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,Summer,Workday,Non-holiday,28.268349,Warm
214,2011-08-02,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,Summer,Workday,Non-holiday,28.816651,Warm
215,2011-08-03,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,Summer,Workday,Non-holiday,26.388348999999998,Warm
216,2011-08-04,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,Summer,Workday,Non-holiday,25.369999999999997,Warm
217,2011-08-05,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,Summer,Workday,Non-holiday,25.409151,Warm
218,2011-08-06,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,Summer,Day-off,Non-holiday,25.683349,Warm
219,2011-08-07,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,Summer,Day-off,Non-holiday,26.8975,Warm
220,2011-08-08,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,Summer,Workday,Non-holiday,27.955,Warm
221,2011-08-09,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,Summer,Workday,Non-holiday,28.425000000000004,Warm
222,2011-08-10,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,Summer,Workday,Non-holiday,28.033349,Warm
223,2011-08-11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,Summer,Workday,Non-holiday,25.722500000000004,Warm
224,2011-08-12,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,Summer,Workday,Non-holiday,25.291651,Warm
225,2011-08-13,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,Summer,Day-off,Non-holiday,24.234151000000004,Normal
226,2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,Summer,Day-off,Non-holiday,23.803349,Normal
227,2011-08-15,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,Summer,Workday,Non-holiday,23.294151,Normal
228,2011-08-16,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,Summer,Workday,Non-holiday,24.939151000000003,Normal
229,2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,Summer,Workday,Non-holiday,25.996651,Warm
230,2011-08-18,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,Summer,Workday,Non-holiday,25.448349,Warm
231,2011-08-19,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,Summer,Workday,Non-holiday,24.195,Normal
232,2011-08-20,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,Summer,Day-off,Non-holiday,24.7825,Normal
233,2011-08-21,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,Summer,Day-off,Non-holiday,25.409151,Warm
234,2011-08-22,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,Summer,Workday,Non-holiday,24.508349000000003,Normal
235,2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,Summer,Workday,Non-holiday,22.119151,Normal
236,2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,Summer,Workday,Non-holiday,23.646651,Normal
237,2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,Summer,Workday,Non-holiday,24.155848999999996,Normal
238,2011-08-26,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,Summer,Workday,Non-holiday,24.9,Normal
239,2011-08-27,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115,Summer,Day-off,Non-holiday,23.96,Normal
240,2011-08-28,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,Summer,Day-off,Non-holiday,25.231772999999997,Warm
241,2011-08-29,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,Summer,Workday,Non-holiday,21.923348999999998,Normal
242,2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,Summer,Workday,Non-holiday,22.040849,Normal
243,2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,Summer,Workday,Non-holiday,22.863349,Normal
244,2011-09-01,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,Summer,Workday,Non-holiday,22.785,Normal
245,2011-09-02,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,Summer,Workday,Non-holiday,22.236651000000002,Normal
246,2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,Summer,Day-off,Non-holiday,23.450848999999998,Normal
247,2011-09-04,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,Summer,Day-off,Non-holiday,25.330849,Warm
248,2011-09-05,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,Summer,Day-off,Holiday,23.646651,Normal
249,2011-09-06,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710,Summer,Workday,Non-holiday,17.380000000000003,Normal
250,2011-09-07,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,Summer,Workday,Non-holiday,20.160849,Normal
251,2011-09-08,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842,Summer,Workday,Non-holiday,21.793910999999998,Normal
252,2011-09-09,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544,Summer,Workday,Non-holiday,22.55,Normal
253,2011-09-10,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345,Summer,Day-off,Non-holiday,23.020000000000003,Normal
254,2011-09-11,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,Summer,Day-off,Non-holiday,22.706651,Normal
255,2011-09-12,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713,Summer,Workday,Non-holiday,22.284356000000002,Normal
256,2011-09-13,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763,Summer,Workday,Non-holiday,22.589151,Normal
257,2011-09-14,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,Summer,Workday,Non-holiday,23.646651,Normal
258,2011-09-15,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659,Summer,Workday,Non-holiday,19.142500000000002,Normal
259,2011-09-16,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760,Summer,Workday,Non-holiday,14.050849,Normal
260,2011-09-17,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,Summer,Day-off,Non-holiday,15.108349,Normal
261,2011-09-18,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274,Summer,Day-off,Non-holiday,15.8525,Normal
262,2011-09-19,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539,Summer,Workday,Non-holiday,17.810848999999997,Normal
263,2011-09-20,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,Summer,Workday,Non-holiday,18.398349,Normal
264,2011-09-21,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,3813,4352,Summer,Workday,Non-holiday,19.965,Normal
265,2011-09-22,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795,Summer,Workday,Non-holiday,21.531651,Normal
266,2011-09-23,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,Fall,Workday,Non-holiday,20.630849,Normal
267,2011-09-24,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,Fall,Day-off,Non-holiday,20.513348999999998,Normal
268,2011-09-25,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,Fall,Day-off,Non-holiday,21.805849000000002,Normal
269,2011-09-26,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630,Fall,Workday,Non-holiday,22.510849000000004,Normal
270,2011-09-27,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120,Fall,Workday,Non-holiday,21.923348999999998,Normal
271,2011-09-28,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,3427,3907,Fall,Workday,Non-holiday,21.845,Normal
272,2011-09-29,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,4186,4839,Fall,Workday,Non-holiday,20.983348999999997,Normal
273,2011-09-30,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202,Fall,Workday,Non-holiday,18.515849,Normal
274,2011-10-01,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429,Fall,Day-off,Non-holiday,11.27,Normal
275,2011-10-02,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302,2918,Fall,Day-off,Non-holiday,8.763349000000002,Cold
276,2011-10-03,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570,Fall,Workday,Non-holiday,10.055848999999998,Normal
277,2011-10-04,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456,Fall,Workday,Non-holiday,14.755849000000001,Normal
278,2011-10-05,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826,Fall,Workday,Non-holiday,17.301650999999996,Normal
279,2011-10-06,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765,Fall,Workday,Non-holiday,15.225849,Normal
280,2011-10-07,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985,Fall,Workday,Non-holiday,16.009151,Normal
281,2011-10-08,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,Fall,Day-off,Non-holiday,16.518349,Normal
282,2011-10-09,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511,Fall,Day-off,Non-holiday,17.419151,Normal
283,2011-10-10,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,Fall,Day-off,Holiday,18.829151000000003,Normal
284,2011-10-11,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563,Fall,Workday,Non-holiday,18.633349000000003,Normal
285,2011-10-12,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416,Fall,Workday,Non-holiday,17.536651,Normal
286,2011-10-13,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913,Fall,Workday,Non-holiday,19.690849,Normal
287,2011-10-14,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,3115,3644,Fall,Workday,Non-holiday,17.889151000000002,Normal
288,2011-10-15,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217,Fall,Day-off,Non-holiday,15.813348999999999,Normal
289,2011-10-16,4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293,5041,Fall,Day-off,Non-holiday,16.048348999999998,Normal
290,2011-10-17,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713,3857,4570,Fall,Workday,Non-holiday,17.105849,Normal
